model_name,parent_class_id,parent_id,parent_name,collection_id,collection_name,category_id,category_name,category_rank,child_id,child_name,band_id,timeslice_name,sample_name,_date,period_id,unit_id,unit_name,interval_id,phase_id,phase_name,Generation (GWh),Load (GWh),Installed Capacity (MWh),Units Built,Capacity Built (MWh),Build Cost ($000),Units Retired,year,hour,month
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2023 12:00:00 AM,1,2,GWh,1,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2023,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2024 12:00:00 AM,2,2,GWh,2,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2024,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2025 12:00:00 AM,3,2,GWh,3,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2025,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2026 12:00:00 AM,4,2,GWh,4,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2026,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2027 12:00:00 AM,5,2,GWh,5,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2027,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2028 12:00:00 AM,6,2,GWh,6,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2028,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2029 12:00:00 AM,7,2,GWh,7,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2029,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2030 12:00:00 AM,8,2,GWh,8,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2030,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2031 12:00:00 AM,9,2,GWh,9,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2031,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2032 12:00:00 AM,10,2,GWh,10,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2032,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2033 12:00:00 AM,11,2,GWh,11,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2033,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2034 12:00:00 AM,12,2,GWh,12,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2034,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2035 12:00:00 AM,13,2,GWh,13,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2035,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2036 12:00:00 AM,14,2,GWh,14,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2036,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2037 12:00:00 AM,15,2,GWh,15,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2037,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2038 12:00:00 AM,16,2,GWh,16,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2038,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2039 12:00:00 AM,17,2,GWh,17,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2039,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2040 12:00:00 AM,18,2,GWh,18,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2040,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2041 12:00:00 AM,19,2,GWh,19,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2041,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2042 12:00:00 AM,20,2,GWh,20,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2042,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2043 12:00:00 AM,21,2,GWh,21,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2043,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2044 12:00:00 AM,22,2,GWh,22,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2044,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2045 12:00:00 AM,23,2,GWh,23,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2045,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2046 12:00:00 AM,24,2,GWh,24,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2046,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2047 12:00:00 AM,25,2,GWh,25,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2047,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2048 12:00:00 AM,26,2,GWh,26,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2048,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2049 12:00:00 AM,27,2,GWh,27,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2049,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2050 12:00:00 AM,28,2,GWh,28,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2050,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2051 12:00:00 AM,29,2,GWh,29,1,LT Plan,1646.24598574861,2059.15748218589,2400,12,2400,289520.02488,0,2051,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,228,Battery Storage_23_56,1,All Periods,Mean,12/31/2052 12:00:00 AM,30,2,GWh,30,1,LT Plan,1566.4106224382,1955.31327804803,2400,0,0,0.0,0,2052,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2023 12:00:00 AM,1,2,GWh,1,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2023,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2024 12:00:00 AM,2,2,GWh,2,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2024,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2025 12:00:00 AM,3,2,GWh,3,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2025,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2026 12:00:00 AM,4,2,GWh,4,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2026,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2027 12:00:00 AM,5,2,GWh,5,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2027,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2028 12:00:00 AM,6,2,GWh,6,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2028,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2029 12:00:00 AM,7,2,GWh,7,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2029,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2030 12:00:00 AM,8,2,GWh,8,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2030,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2031 12:00:00 AM,9,2,GWh,9,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2031,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2032 12:00:00 AM,10,2,GWh,10,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2032,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2033 12:00:00 AM,11,2,GWh,11,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2033,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2034 12:00:00 AM,12,2,GWh,12,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2034,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2035 12:00:00 AM,13,2,GWh,13,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2035,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2036 12:00:00 AM,14,2,GWh,14,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2036,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2037 12:00:00 AM,15,2,GWh,15,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2037,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2038 12:00:00 AM,16,2,GWh,16,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2038,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2039 12:00:00 AM,17,2,GWh,17,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2039,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2040 12:00:00 AM,18,2,GWh,18,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2040,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2041 12:00:00 AM,19,2,GWh,19,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2041,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2042 12:00:00 AM,20,2,GWh,20,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2042,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2043 12:00:00 AM,21,2,GWh,21,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2043,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2044 12:00:00 AM,22,2,GWh,22,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2044,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2045 12:00:00 AM,23,2,GWh,23,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2045,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2046 12:00:00 AM,24,2,GWh,24,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2046,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2047 12:00:00 AM,25,2,GWh,25,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2047,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2048 12:00:00 AM,26,2,GWh,26,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2048,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2049 12:00:00 AM,27,2,GWh,27,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2049,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2050 12:00:00 AM,28,2,GWh,28,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2050,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2051 12:00:00 AM,29,2,GWh,29,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2051,12,12
RPS_000_SPS_000,1,1,System,80,Battery,115,Base Expansion,1,229,Solar PV_Sto_Hybrid_23_56,1,All Periods,Mean,12/31/2052 12:00:00 AM,30,2,GWh,30,1,LT Plan,0.0,0.0,0,0,0,0.0,0,2052,12,12
